,product_category,product_subcategory,brand,assembly_service_requested,payment_method,product_price,shipping_cost,assembly_cost,delivery_window_days,customer_rating,payment_timing,delivery_status
472,Office,Work,Premium,False,Bank Transfer,943.26,122.02,0.0,10,3.3,Prepaid,Failed Delivery
608,Outdoor,Seating,Mid Range,False,Bank Transfer,1120.18,87.77,0.0,6,4.2,Prepaid,Failed Delivery
309,Dining Room,Seating,Premium,True,Digital Wallet,620.56,100.51,31.05,8,1.7,Prepaid,Failed Delivery
1801,Dining Room,Seating,Premium,True,Digital Wallet,671.68,0.0,55.84,6,2.7,Prepaid,On Going
199,Kitchen,Table,Mid Range,True,Card,413.38,53.29,29.7,13,3.7,Prepaid,Failed Delivery
1804,Dining Room,Seating,Affordable,True,Bank Transfer,283.14,86.81,65.63,8,4.9,Prepaid,Delivered
228,Office,Storage,Mid Range,False,Digital Wallet,1451.32,51.05,0.0,4,3.1,Prepaid,Failed Delivery
339,Office,Storage,Premium,True,Cash,422.07,97.76,77.52,7,1.9,Postpaid,Failed Delivery
24,Kitchen,Table,Mid Range,False,Digital Wallet,1662.64,108.37,0.0,5,3.9,Prepaid,Delivered
399,Bedroom,Sleeping,Mid Range,False,Digital Wallet,2799.68,76.11,0.0,9,3.1,Prepaid,Failed Delivery
116,Living Room,Seating,Affordable,False,Card,247.97,49.36,0.0,14,2.4,Prepaid,On Going
1054,Dining Room,Table,Mid Range,False,Card,820.69,0.0,0.0,3,2.7,Prepaid,Delivered
994,Dining Room,Storage,Mid Range,False,Card,1459.96,128.35,0.0,4,3.3,Prepaid,Failed Delivery
1617,Living Room,Seating,Premium,True,Digital Wallet,1030.78,147.15,223.0,5,3.7,Prepaid,Failed Delivery
1653,Living Room,Seating,Affordable,False,Cash,291.62,92.13,0.0,14,2.4,Postpaid,Failed Delivery
375,Office,Work,Mid Range,True,Cash,1345.84,135.72,225.17,2,3.0,Postpaid,On Going
1134,Outdoor,Seating,Premium,True,Digital Wallet,777.69,89.92,238.53,2,3.1,Prepaid,Failed Delivery
971,Dining Room,Table,Mid Range,False,Card,364.65,66.03,0.0,13,4.5,Prepaid,Failed Delivery
652,Living Room,Seating,Affordable,False,Digital Wallet,237.42,80.54,0.0,3,4.4,Prepaid,On Going
962,Outdoor,Seating,Affordable,False,Digital Wallet,323.96,91.06,0.0,13,4.7,Prepaid,Failed Delivery
980,Bedroom,Storage,Mid Range,False,Digital Wallet,807.03,71.08,0.0,12,1.6,Prepaid,Failed Delivery
1070,Outdoor,Patio furniture,Premium,True,Bank Transfer,1526.48,58.26,270.53,1,1.5,Prepaid,Failed Delivery
1867,Kitchen,Storage,Affordable,False,Digital Wallet,861.66,129.12,0.0,3,2.5,Prepaid,On Going
192,Living Room,Storage,Premium,False,Card,1264.91,92.41,0.0,14,2.8,Prepaid,Delivered
1874,Kitchen,Table,Affordable,True,Card,566.9,0.0,39.49,14,2.5,Prepaid,Failed Delivery
599,Outdoor,Seating,Mid Range,False,Digital Wallet,737.56,145.01,0.0,9,4.1,Prepaid,On Going
1624,Kitchen,Table,Affordable,False,Digital Wallet,654.02,0.0,0.0,4,3.1,Prepaid,On Going
1349,Outdoor,Seating,Affordable,True,Bank Transfer,1786.53,0.0,28.34,14,3.7,Prepaid,Delivered
1073,Kitchen,Storage,Affordable,False,Card,734.75,122.76,0.0,7,3.1,Prepaid,On Going
301,Living Room,Seating,Mid Range,True,Digital Wallet,380.25,76.23,91.71,5,3.9,Prepaid,On Going
1572,Outdoor,Seating,Premium,True,Bank Transfer,1629.35,56.53,159.45,10,3.5,Prepaid,Failed Delivery
1274,Bedroom,Sleeping,Affordable,True,Digital Wallet,2115.57,149.58,233.84,12,1.9,Prepaid,On Going
631,Office,Work,Mid Range,True,Card,248.29,78.52,128.8,8,2.7,Prepaid,Failed Delivery
1553,Living Room,Seating,Affordable,False,Digital Wallet,1836.42,66.51,0.0,14,3.6,Prepaid,On Going
1740,Dining Room,Seating,Affordable,True,Digital Wallet,1698.8,0.0,194.72,3,3.2,Prepaid,Failed Delivery
493,Living Room,Storage,Affordable,False,Card,1151.9,73.76,0.0,14,1.9,Prepaid,On Going
334,Dining Room,Seating,Premium,False,Bank Transfer,316.28,55.02,0.0,5,3.8,Prepaid,Failed Delivery
1155,Dining Room,Seating,Mid Range,True,Cash,1853.8,145.93,171.05,8,4.1,Postpaid,Failed Delivery
1339,Bedroom,Sleeping,Affordable,False,Card,2322.01,0.0,0.0,5,1.2,Prepaid,On Going
1161,Living Room,Table,Mid Range,False,Digital Wallet,441.94,82.75,0.0,5,2.3,Prepaid,Delivered
949,Office,Work,Affordable,True,Card,1153.32,80.24,112.73,9,4.5,Prepaid,Failed Delivery
130,Living Room,Seating,Premium,False,Digital Wallet,1037.89,146.96,0.0,13,2.8,Prepaid,On Going
1701,Living Room,Seating,Premium,True,Card,631.11,128.79,91.49,4,1.4,Prepaid,On Going
235,Kitchen,Table,Affordable,False,Card,1065.43,111.74,0.0,10,3.7,Prepaid,On Going
1245,Bedroom,Storage,Other,True,Card,2838.51,91.63,163.15,6,3.7,Prepaid,Failed Delivery
1166,Dining Room,Table,Mid Range,False,Digital Wallet,655.33,52.84,0.0,14,2.4,Prepaid,Delivered
215,Dining Room,Storage,Mid Range,False,Digital Wallet,1032.15,144.11,0.0,3,3.6,Prepaid,Failed Delivery
1414,Dining Room,Seating,Mid Range,True,Bank Transfer,730.94,0.0,35.69,14,1.6,Prepaid,Failed Delivery
1551,Living Room,Table,Affordable,True,Card,697.45,0.0,221.98,5,4.3,Prepaid,Failed Delivery
858,Living Room,Table,Mid Range,True,Digital Wallet,1988.9,0.0,217.0,13,2.9,Prepaid,On Going
868,Kitchen,Table,Premium,True,Cash,781.59,0.0,221.61,11,4.3,Postpaid,On Going
1388,Outdoor,Seating,Affordable,True,Digital Wallet,369.39,41.36,41.3,12,3.1,Prepaid,On Going
736,Office,Storage,Affordable,False,Card,1204.52,68.78,0.0,4,4.4,Prepaid,Delivered
1868,Kitchen,Storage,Mid Range,True,Card,986.32,0.0,273.13,9,4.9,Prepaid,Failed Delivery
112,Outdoor,Seating,Premium,True,Digital Wallet,951.34,77.32,142.99,5,3.4,Prepaid,Failed Delivery
634,Outdoor,Patio furniture,Mid Range,True,Cash,572.77,0.0,33.32,4,2.4,Postpaid,Failed Delivery
1778,Kitchen,Table,Affordable,True,Card,2240.43,139.3,90.73,7,1.3,Prepaid,Failed Delivery
1918,Outdoor,Seating,Affordable,False,Digital Wallet,1141.13,131.4,0.0,14,1.6,Prepaid,On Going
188,Office,Work,Other,True,Card,1356.42,55.56,218.52,1,3.7,Prepaid,Failed Delivery
539,Office,Work,Mid Range,True,Cash,1450.23,146.66,33.48,6,1.2,Postpaid,On Going
688,Outdoor,Patio furniture,Mid Range,False,Digital Wallet,1578.82,107.2,0.0,9,3.6,Prepaid,On Going
381,Bedroom,Sleeping,Mid Range,True,Digital Wallet,1182.34,61.83,271.68,12,3.1,Prepaid,Failed Delivery
1765,Bedroom,Storage,Mid Range,True,Bank Transfer,2588.29,0.0,92.53,2,1.7,Prepaid,Delivered
14,Outdoor,Seating,Affordable,False,Bank Transfer,1712.3,73.85,0.0,4,4.0,Prepaid,On Going
320,Dining Room,Storage,Premium,True,Cash,202.72,89.07,67.13,10,4.9,Postpaid,Delivered
1586,Living Room,Seating,Affordable,False,Cash,1056.77,100.34,0.0,9,3.6,Postpaid,On Going
1119,Kitchen,Table,Premium,False,Bank Transfer,2054.44,94.01,0.0,2,3.1,Prepaid,Delivered
997,Dining Room,Table,Premium,False,Card,1416.84,145.76,0.0,6,3.1,Prepaid,Failed Delivery
385,Bedroom,Storage,Affordable,False,Card,2030.0,0.0,0.0,8,1.3,Prepaid,Failed Delivery
1667,Office,Work,Premium,True,Card,590.03,119.55,68.65,4,3.1,Prepaid,Failed Delivery
174,Bedroom,Storage,Affordable,False,Digital Wallet,2347.85,119.02,0.0,6,3.2,Prepaid,Delivered
508,Kitchen,Storage,Premium,True,Card,1020.3,56.15,94.36,13,1.0,Prepaid,Failed Delivery
1764,Outdoor,Patio furniture,Mid Range,True,Cash,710.41,0.0,82.74,13,1.2,Postpaid,Failed Delivery
540,Outdoor,Patio furniture,Affordable,True,Digital Wallet,906.31,137.43,96.24,1,3.0,Prepaid,Failed Delivery
1069,Bedroom,Sleeping,Premium,False,Digital Wallet,579.63,117.53,0.0,1,4.8,Prepaid,On Going
1845,Dining Room,Seating,Affordable,True,Card,140.42,97.59,43.94,14,2.1,Prepaid,On Going
1323,Office,Work,Affordable,False,Digital Wallet,496.28,89.39,0.0,14,1.9,Prepaid,On Going
825,Outdoor,Table,Premium,False,Cash,523.06,73.85,0.0,3,2.1,Postpaid,Failed Delivery
1676,Outdoor,Table,Affordable,True,Bank Transfer,1702.38,82.06,41.98,14,4.5,Prepaid,Failed Delivery
0,Outdoor,Patio furniture,Mid Range,True,Card,191.27,45.63,86.82,11,3.2,Prepaid,Failed Delivery
1662,Kitchen,Table,Affordable,True,Bank Transfer,447.77,98.43,284.88,13,2.3,Prepaid,On Going
1385,Kitchen,Table,Premium,False,Digital Wallet,430.62,40.83,0.0,4,2.2,Prepaid,Failed Delivery
467,Living Room,Seating,Affordable,True,Bank Transfer,1425.81,68.41,44.14,7,2.2,Prepaid,Failed Delivery
989,Dining Room,Seating,Mid Range,True,Card,1751.21,0.0,93.56,11,3.1,Prepaid,Failed Delivery
1912,Dining Room,Seating,Mid Range,True,Cash,468.89,82.6,294.6,3,1.5,Postpaid,On Going
1543,Living Room,Seating,Affordable,False,Card,1200.72,135.94,0.0,8,2.7,Prepaid,Failed Delivery
1904,Dining Room,Table,Mid Range,False,Digital Wallet,1882.88,0.0,0.0,14,3.1,Prepaid,Failed Delivery
960,Outdoor,Seating,Mid Range,False,Digital Wallet,771.26,115.9,0.0,3,3.4,Prepaid,Delivered
1111,Kitchen,Table,Premium,False,Digital Wallet,1050.51,100.31,0.0,2,4.8,Prepaid,On Going
1077,Kitchen,Table,Affordable,False,Card,2321.31,143.23,0.0,1,3.1,Prepaid,On Going
1852,Dining Room,Storage,Mid Range,False,Card,1909.02,0.0,0.0,3,4.9,Prepaid,Failed Delivery
577,Outdoor,Seating,Affordable,True,Digital Wallet,1352.2,133.55,60.39,8,3.1,Prepaid,On Going
1935,Office,Work,Mid Range,True,Cash,726.73,0.0,58.77,11,3.1,Postpaid,On Going
240,Outdoor,Seating,Affordable,True,Digital Wallet,1057.05,0.0,177.51,14,3.2,Prepaid,Failed Delivery
347,Dining Room,Storage,Premium,True,Digital Wallet,1774.64,110.9,139.79,6,2.8,Prepaid,On Going
251,Outdoor,Seating,Other,True,Bank Transfer,858.23,0.0,30.34,2,3.1,Prepaid,Failed Delivery
